K Value,Random State,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
1,80,6663,1485,1420,1178,0.7296668527824307,0.8243226524805146,0.8177466863033873,0.8210215020639516
1,225,6618,1512,1444,1172,0.7249209008002978,0.8208881170925328,0.8140221402214022,0.8174407114624506
1,2067,6685,1514,1415,1132,0.7274334636143681,0.8253086419753086,0.8153433345529942,0.8202957236640285
1,4133,6676,1544,1373,1153,0.7285501581983994,0.8294198037023233,0.8121654501216545,0.8207019484909953
1,6741,6687,1469,1428,1162,0.7304113158384515,0.8240295748613679,0.8198871996076508,0.8219531682133857
1,9931,6637,1513,1434,1162,0.7257584217383213,0.8223268492132325,0.814355828220859,0.8183219283644658
1,58146,6670,1488,1446,1142,0.7269681742043551,0.8218334154756037,0.8176023535180191,0.8197124247265576
1,79327,6708,1493,1411,1134,0.7297599106644332,0.8262101243995565,0.8179490306060236,0.8220588235294117
1,3114652,6640,1448,1475,1183,0.7279918109063838,0.818237831176833,0.820969337289812,0.819601308399679
1,8538320,6602,1520,1464,1160,0.7223152801042249,0.8184973964790478,0.8128539768529919,0.8156659253768223
2,80,7700,448,1886,712,0.7828029034059185,0.8032547465053202,0.9450171821305842,0.8683884064508854
2,225,7711,419,1899,717,0.7842918295179602,0.8023933402705515,0.9484624846248463,0.8693348365276212
2,2067,7753,446,1906,641,0.7811278615298716,0.8026710839631431,0.9456031223319917,0.8682943218725501
2,4133,7794,426,1840,686,0.7891308393820957,0.8090097571102346,0.9481751824817518,0.8730816623725777
2,6741,7786,370,1888,702,0.7898753024381165,0.8048377093239611,0.9546346248160863,0.8733595064498038
2,9931,7727,423,1909,687,0.7829890191699237,0.8018887505188875,0.9480981595092025,0.868885640391319
2,58146,7785,373,1920,668,0.7866182765680253,0.8021638330757341,0.9542780093160088,0.8716341040138834
2,79327,7785,416,1880,665,0.7863391029220175,0.8054837040869115,0.949274478722107,0.8714877420799284
2,3114652,7677,411,1941,717,0.7811278615298716,0.7981908920773549,0.9491839762611276,0.8671636733310741
2,8538320,7700,422,1931,693,0.7810348036478689,0.7995016093863565,0.9480423540999754,0.8674590210105335
3,80,7192,956,1654,944,0.7571189279731994,0.8130228351797423,0.8826705940108002,0.8464163822525596
3,225,7168,962,1653,963,0.7566536385631863,0.8126062804670672,0.8816728167281673,0.8457318152321397
3,2067,7230,969,1675,872,0.7539549599851108,0.8119034250421112,0.8818148554701792,0.8454162768942939
3,4133,7254,966,1606,920,0.7606551274892983,0.8187358916478555,0.8824817518248175,0.8494145199063232
3,6741,7235,921,1630,960,0.7626093430113531,0.8161308516638466,0.8870769985286905,0.8501263145526115
3,9931,7199,951,1647,949,0.7582356225572306,0.8138141532896225,0.8833128834355828,0.847140503647917
3,58146,7239,919,1685,903,0.757677275265215,0.8111833258628418,0.8873498406472174,0.8475588338602037
