Random State,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
80,7896,281,1861,707,0.8006514657980456,0.8092651429742749,0.9656353185764951,0.8805620608899298
225,7941,259,1886,659,0.8003722661703118,0.8080797801974153,0.9684146341463414,0.8810118156099185
2067,7843,276,1915,711,0.7960912052117264,0.803750768600123,0.9660056657223796,0.8774402864015214
4133,7836,245,1988,676,0.7921824104234527,0.7976384364820847,0.9696819700532112,0.8752862328958391
6741,7870,281,1921,673,0.795067473243369,0.8037994076192422,0.9655257023678077,0.8772712072232751
9931,7843,293,1918,691,0.7942298743601676,0.8035037393709661,0.9639872173058014,0.876459741856177
58146,7916,267,1858,704,0.8022335970218707,0.8099038264784121,0.9673713796896004,0.8816617475079356
79327,7804,272,1956,713,0.7926477431363425,0.7995901639344263,0.966319960376424,0.8750840995738957
3114652,7929,267,1867,682,0.8013959981386691,0.8094120048999591,0.9674231332357247,0.8813917296576257
8538320,7926,274,1888,657,0.7987901349464868,0.8076217648257591,0.9665853658536585,0.8799822360386367
